ST,Locid,City,Airport Name,S/L,CY 24 Enplanements
WY,CPR,Casper,Casper/Natrona County International,P,99658
MN,RST,Rochester,Rochester International,P,98537
AK,SIT,Sitka,Sitka Rocky Gutierrez,P,98066
AK,SCC,Deadhorse,Deadhorse,P,96967
TX,ABI,Abilene,Abilene Regional,P,94579
WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,93330
NY,PBG,Plattsburgh,Plattsburgh International,P,92960
MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,92510
ND,GFK,Grand Forks,Grand Forks International,P,92482
LA,LCH,Lake Charles,Lake Charles Regional,P,90791
WI,CWA,Mosinee,Central Wisconsin,P,90087
CA,RDD,Redding,Redding Regional,P,88676
FL,VRB,Vero Beach,Vero Beach Regional,P,88608
NC,EWN,New Bern,Coastal Carolina Regional,P,86653
IL,CMI,Savoy,University of Illinois/Willard,P,86626
AK,ADQ,Kodiak,Kodiak,P,86579
KS,MHK,Manhattan,Manhattan Regional,P,85901
NY,ELM,Elmira,Elmira/Corning Regional,P,85696
AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,85227
HI,MKK,Kaunakakai,Molokai,P,84029
MA,MVY,Vineyard Haven,Martha's Vineyard,P,83419
VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,81477
AZ,FLG,- Flagstaff,Flagstaff Pulliam,P,79081
PA,LBE,Latrobe,Arnold Palmer Regional,P,76437
AK,ENA,Kenai,Kenai Municipal,P,75395
NY,ITH,Ithaca,Ithaca Tompkins International,P,69613
AK,OME,Nome,Nome,P,69593
VA,PHF,Newport News,Newport News/Williamsburg International,P,68787
TX,CLL,College Station,Easterwood Field,P,68316
NE,GRI,Grand Island,Central Nebraska Regional,P,67747
OH,TOL,Toledo,Eugene F Kranz Toledo Express,P,66614
WA,PUW,Pullman,Pullman/Moscow Regional,P,64580
CA,SCK,Stockton,Stockton Metro,P,63668
GA,CSG,Columbus,Columbus,P,63422
AK,OTZ,Kotzebue,Ralph Wien Memorial,P,60547
MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,60442
NV,BVU,Boulder City,Boulder City Municipal,P,59617
AR,FSM,Fort Smith,Fort Smith Regional,P,59250
NY,IAG,Niagara Falls,Niagara Falls International,P,59119
CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,58804
ID,LWS,Lewiston,Lewiston/Nez Perce County,P,55467
TX,ACT,Waco,Waco Regional,P,53849
IL,SPI,Springfield,Abraham Lincoln Capital,P,51784
TX,TYR,Tyler,Tyler Pounds Regional,P,51296
TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,49493
NM,ROW,Roswell,Roswell Air Center,P,48740
MS,GTR,Columbus,Golden Triangle Regional,P,47323
PA,ERI,Erie,Erie International/Tom Ridge Field,P,46810
GA,VLD,Valdosta,Valdosta Regional,P,46744
OK,LAW,Lawton,Lawton-Fort Sill Regional,P,45031
AS,PPG,Pago Pago,Pago Pago International,P,44656
